ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company,EPS_basis,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Quarter_Time,Investment in joint ventures,Leased assets,Difference upon Assets Revaluation,Minority Interest,Other Reserves,CURRENT ASSETS (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Other non-current assets,Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),Capital and reserves (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Net Profit/Loss before tax,Depreciation and Amortisation,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,(ST+LT borrowings)/Equity,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,EV/EBITDA,Long-term loans receivables (Bn. VND),Goodwill,Budget sources and other funds,Long-term borrowings (Bn. VND),Finance lease principal payments,Interest income and dividends,Profit/Loss from disposal of fixed assets,Convertible bonds (Bn. VND),_Increase/Decrease in receivables,_Increase/Decrease in payables,adj_close_q,actual_price_date,y_return
ACB,2021,1,449514732000000,6037588000000,20232572000000.0,27746394000000.0,4419502000000.0,4529892000000.0,-110390000000.0,135503000000.0,320754992000000.0,324311117000000.0,-3556125000000.0,58893891000000.0,10294062000000.0,48932832000000.0,-333003000000.0,99549000000,2967000000.0,101827000000.0,-5245000000.0,3720662000000,2664580000000.0,1056082000000.0,216027000000.0,7258052000000.0,449514732000000,411585397000000,0.0,20335604000000.0,352217653000000.0,0.0,108249000000.0,20384044000000.0,18539847000000.0,37929335000000,21887364000000.0,5742084000000.0,-2229000000.0,10302116000000,21615585000000,0.0,8314894000000,0.0591398630170139,2483401000000,0.6156898948832603,8314894000000.0,-3675322000000.0,4639572000000.0,880105000000.0,-254898000000.0,625207000000.0,196140000000.0,113492000000.0,48939000000.0,246046000000.0,-197099000000.0,48947000000.0,3080000000.0,5675377000000.0,-1965297000000,3710080000000.0,-605761000000.0,3104319000000,-620918000000.0,-710036000000,89118000000.0,2483401000000,2483401000000,1149.0,-8770000000.0,2856723000000.0,1264041000000.0,-570000000.0,-93052000000.0,3494000000.0,59661000000.0,0.0,0.0,1323132000000.0,46022071000000.0,-2229000000.0,47342974000000.0,1263471000000.0,766000000.0,0.0,0.0,0.0,10.851373672485352,0.0980945750828481,0.7384051136956294,0.5352651063503271,0.2517097592353821,0.0,0.0201904661953449,0.0,11.851373929967398,88488799456250.0,2701948075.0,10.2546119679,2.3329910597,4.5475741842,10.8526997035,919.1149981666468,14037.7734683151,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,2021-06-01,-0.05129329438755058
ACB,2021,2,471275438000000,6870892000000,21912320000000.0,28988545000000.0,10270741000000.0,10375295000000.0,-104554000000.0,82038000000.0,336827639000000.0,341667500000000.0,-4839861000000.0,55528394000000.0,9535454000000.0,46253125000000.0,-260185000000.0,87912000000,2967000000.0,101827000000.0,-16882000000.0,3703279000000,2628026000000.0,1075253000000.0,216027000000.0,6787651000000.0,471275438000000,430895193000000,0.0,27085956000000.0,358474148000000.0,0.0,100653000000.0,27455319000000.0,17779117000000.0,40380245000000,21887364000000.0,5742084000000.0,10446000000.0,12740351000000,21615585000000,0.0,8653369000000,0.1367066233161124,2588235000000,0.7009341802182492,8653369000000.0,-3662982000000.0,4990387000000.0,1186356000000.0,-299977000000.0,886379000000.0,231524000000.0,91668000000.0,44709000000.0,174708000000.0,-195620000000.0,-20912000000.0,3462000000.0,6227217000000.0,-1592538000000,4634679000000.0,-1386245000000.0,3248434000000,-660199000000.0,-591994000000,-68205000000.0,2588235000000,2588235000000,673.0,-93442000000.0,4062063000000.0,2310412000000.0,-380000000.0,-229438000000.0,2822000000.0,-224730000000.0,0.0,0.0,2085302000000.0,47342974000000.0,12675000000.0,49440951000000.0,2310032000000.0,1886000000.0,0.0,0.0,0.0,10.6709405304,0.0917101666916582,0.7861192240855889,0.5186441452336261,0.2644114647,0.0,0.0217385162,0.0,11.670940530449975,88083507245000.0,2701948075.0,9.0847535168,2.1813514813,4.0810426874,13.6023134122,957.9144114381252,14944.8634389467,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01,2021-09-01,0.04558080662215924
ACB,2021,3,479308753000000,7010081000000,33532941000000.0,28675646000000.0,10151989000000.0,10239936000000.0,-87947000000.0,63982000000.0,330911258000000.0,336491602000000.0,-5580344000000.0,58533725000000.0,8886513000000.0,49807650000000.0,-160438000000.0,88068000000,2967000000.0,101827000000.0,-16726000000.0,3646321000000,2581210000000.0,1065111000000.0,216027000000.0,6478715000000.0,479308753000000,436825317000000,0.0,20324174000000.0,365770473000000.0,0.0,93799000000.0,32469936000000.0,18166935000000.0,42483436000000,27291260000000.0,5742084000000.0,11022000000.0,9439070000000,27019481000000,0.0,8290513000000,0.0453485498420095,2102615000000,0.013517486980447,8290513000000.0,-3770002000000.0,4520511000000.0,897088000000.0,-261529000000.0,635559000000.0,205933000000.0,183481000000.0,92038000000.0,148382000000.0,-106055000000.0,42327000000.0,10333000000.0,5690182000000.0,-2254497000000,3435685000000.0,-820086000000.0,2615599000000,-512984000000.0,-558745000000,45761000000.0,2102615000000,2102615000000,323.0,-9741000000.0,3356786000000.0,12722291000000.0,-275000000.0,-50349000000.0,9939000000.0,-40410000000.0,0.0,0.0,12681606000000.0,49440951000000.0,576000000.0,62123133000000.0,12722016000000.0,0.0,0.0,0.0,0.0,10.2822501692,0.0858292394240428,0.8270639701371246,0.4651277256044726,0.2489431803,0.0,0.0210856359,0.0,11.282250169218893,88623896860000.0,2701948075.0,9.1141274869,2.0860811932,3.8890290041,3.461298556,778.1848287369475,15723.261447206,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.71,2021-12-01,-0.003187761704872813
ACB,2021,4,527769944000000,7509877000000,32349574000000.0,49818776000000.0,11259731000000.0,11325371000000.0,-65640000000.0,226545000000.0,356050950000000.0,361912538000000.0,-5861588000000.0,59474604000000.0,9739539000000.0,49743071000000.0,-8006000000.0,171925000000,0.0,299317000000.0,-127392000000.0,3762548000000,2685070000000.0,1077478000000.0,216027000000.0,6929387000000.0,527769944000000,482869035000000,0.0,54393939000000.0,379920669000000.0,0.0,86066000000.0,30547883000000.0,17920478000000.0,44900909000000,27291260000000.0,7164297000000.0,0.0,10445352000000,27019481000000,0.0,8455034000000,-0.0007772751548139,2428495000000,-0.0474783127799766,8455034000000.0,-3660712000000.0,4794322000000.0,1062911000000.0,-316093000000.0,746818000000.0,237959000000.0,61319000000.0,58365000000.0,134023000000.0,-64922000000.0,69101000000.0,3337000000.0,5971221000000.0,-2417444000000,3553777000000.0,-524017000000.0,3029760000000,-601265000000.0,-528304000000,-72961000000.0,2428495000000,2428495000000,898.0,16989000000.0,2051001000000.0,23630638000000.0,-258000000.0,-263261000000.0,5724000000.0,-256924000000.0,0.0,-2884000000000.0,20489456000000.0,62123133000000.0,-11022000000.0,82601567000000.0,23630380000000.0,613000000.0,0.0,0.0,0.0,10.7541037755,0.0837966999732678,0.8741271318145206,0.5065356477933689,0.2390256853,0.0,0.0197526392,0.0,11.75410377549372,83490195517500.0,2701948075.0,8.694408532,1.8594321892,3.543125367,2.0911287872,898.7941043241551,16617.9762725455,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,2022-04-01,-0.07077332802796282
ACB,2022,1,528636428000000,6281931000000,18208130000000.0,54337806000000.0,5068428000000.0,5159447000000.0,-91019000000.0,92408000000.0,374124636000000.0,379982950000000.0,-5858314000000.0,58710197000000.0,10634517000000.0,48079089000000.0,-3409000000.0,207771000000,0.0,309837000000.0,-102066000000.0,3678381000000,2641814000000.0,1036567000000.0,216027000000.0,7710713000000.0,528636428000000,480433095000000,0.0,44323457000000.0,386050921000000.0,0.0,79176000000.0,30949666000000.0,19029875000000.0,48203333000000,27291260000000.0,7164297000000.0,14889000000.0,13732887000000,27019481000000,0.0,9053845000000,0.0888707661216126,3287535000000,0.3238035258905026,9053845000000.0,-3613173000000.0,5440672000000.0,1024894000000.0,-285735000000.0,739159000000.0,303367000000.0,-11224000000.0,6505000000.0,429099000000.0,-59908000000.0,369191000000.0,2093000000.0,6849763000000.0,-2738601000000,4111162000000.0,2843000000.0,4114005000000,-826470000000.0,-982622000000,156152000000.0,3287535000000,3287535000000,1217.0,33269000000.0,3593628000000.0,-8504080000000.0,-399000000.0,-83494000000.0,2507000000.0,-90604000000.0,0.0,0.0,-8595083000000.0,82601567000000.0,14889000000.0,74021373000000.0,-8504479000000.0,903000000.0,-10520000000.0,0.0,0.0,9.9668023993,0.0763096817392274,0.93841844536355,0.6042516439145753,0.236563115,0.0,0.0207412634,0.0,10.966802399327864,81058442256000.0,3377435094.0,7.7889284027,1.6815941391,3.2766265384,2.6877969459,973.3821401454296,14272.1715320697,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.59,2022-06-01,-0.01588979891461616
ACB,2022,2,543736728000000,7179996000000,11267755000000.0,57122539000000.0,1481310000000.0,1683277000000.0,-201967000000.0,91556000000.0,390049375000000.0,395598651000000.0,-5549276000000.0,64489044000000.0,18577997000000.0,45917151000000.0,-6104000000.0,158000000000,0.0,309337000000.0,-151337000000.0,3625120000000,2601457000000.0,1023663000000.0,216027000000.0,8056006000000.0,543736728000000,491670697000000,565000000.0,50712628000000.0,388131932000000.0,0.0,70779000000.0,34851291000000.0,17903502000000.0,52066031000000,27291260000000.0,7164297000000.0,84439000000.0,17526035000000,27019481000000,0.0,9419513000000,0.0885370772932484,3943148000000,0.5234891731237696,9419513000000.0,-3813123000000.0,5606390000000.0,1342948000000.0,-349681000000.0,993267000000.0,145269000000.0,-226653000000.0,18353000000.0,412721000000.0,-56632000000.0,356089000000.0,30632000000.0,6923347000000.0,-2276351000000,4646996000000.0,267364000000.0,4914360000000,-971212000000.0,-903936000000,-67276000000.0,3943148000000,3943148000000,879.0,48809000000.0,3717164000000.0,-4100834000000.0,-157000000.0,-42821000000.0,28499000000.0,-12804000000.0,0.0,0.0,-4113795000000.0,74021373000000.0,69550000000.0,69977128000000.0,-4100991000000.0,1018000000.0,0.0,500000000.0,0.0,9.4432144636,0.0696254339033447,1.0136171261698936,0.7033310204962552,0.2507127211,0.0,0.0226247951,0.0,10.443214463572229,67379830125300.0,3377435094.0,5.728704027,1.2941226522,2.6491496073,2.8374127634,1167.4977875977504,15415.8494688751,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.36,2022-09-05,-0.08498759689085489
ACB,2022,3,561113724000000,6820742000000,7285530000000.0,62584455000000.0,1438382000000.0,1641739000000.0,-203357000000.0,67174000000.0,396661986000000.0,402250931000000.0,-5588945000000.0,71265935000000.0,27533790000000.0,43732145000000.0,0.0,154549000000,0.0,309337000000.0,-154788000000.0,3733847000000,2665262000000.0,1068585000000.0,177005000000.0,10924119000000.0,561113724000000,505378993000000,34000000.0,51830484000000.0,392023517000000.0,0.0,64550000000.0,40052881000000.0,21407527000000.0,55734731000000,34046130000000.0,7164297000000.0,166147000000.0,14358157000000,33774351000000,0.0,10320044000000,0.2448016184281961,3586992000000,0.7059670933575571,10320044000000.0,-4287794000000.0,6032250000000.0,1296877000000.0,-430092000000.0,866785000000.0,95844000000.0,-39964000000.0,-1502000000.0,104791000000.0,19046000000.0,123837000000.0,13711000000.0,7090961000000.0,-2525765000000,4565196000000.0,-90436000000.0,4474760000000,-887768000000.0,-866236000000,-21532000000.0,3586992000000,3586992000000,1063.0,37497000000.0,5104535000000.0,2913363000000.0,-251000000.0,-177344000000.0,13071000000.0,-77882000000.0,0.0,0.0,2835230000000.0,69977128000000.0,81708000000.0,72894066000000.0,2913112000000.0,1027000000.0,0.0,0.0,0.0,9.0675775039,0.0669931824018312,1.0850390701774846,0.5946358324008455,0.2637300164,0.0,0.0245156797,0.0,10.067577503872764,81565057520100.0,3377435094.0,6.1576333479,1.4634511741,3.0394697222,5.8519823059,1062.0461682216417,16502.0879598878,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.19,2022-12-01,0.11516821404084616
ACB,2022,4,607875185000000,8460892000000,13657531000000.0,85971313000000.0,1131327000000.0,1320941000000.0,-189614000000.0,100072000000.0,408856508000000.0,413706244000000.0,-4849736000000.0,75534794000000.0,31854915000000.0,43679879000000.0,0.0,146814000000,0.0,303387000000.0,-156573000000.0,3981376000000,2849732000000.0,1131644000000.0,177005000000.0,9857553000000.0,607875185000000,549436522000000,505876000000.0,67840840000000.0,413952789000000.0,0.0,60188000000.0,44304367000000.0,22772462000000.0,58438663000000,34046130000000.0,9220125000000.0,0.0,15172408000000,33774351000000,0.0,11905432000000,0.4080880100541287,2870518000000,0.1820151987136065,11905432000000.0,-5451215000000.0,6454217000000.0,1392840000000.0,-465807000000.0,927033000000.0,503889000000.0,-110032000000.0,-2708000000.0,163883000000.0,-23306000000.0,140577000000.0,13020000000.0,7925996000000.0,-4064328000000,3861668000000.0,-250585000000.0,3611083000000,-740565000000.0,-692817000000,-47748000000.0,2870518000000,2870518000000,849.0,32474000000.0,3998583000000.0,31167553000000.0,-200656000000.0,-207854000000.0,15522000000.0,-184588000000.0,0.0,0.0,30782309000000.0,72894066000000.0,-166147000000.0,103510228000000.0,30966897000000.0,1793000000.0,0.0,5951000000.0,0.0,9.401935188,0.0681291425164877,1.1376789916494865,0.4447507730217314,0.2649167736,0.0,0.0241064619,0.0,10.401935188010718,84267005595300.0,3377435094.0,6.1561819167,1.4419735372,2.9269471862,3.9609321837,849.9106333973564,17302.6753656395,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,2023-04-03,0.014755465565919267
ACB,2023,1,611223523000000,6654779000000,6429413000000.0,94638910000000.0,1541928000000.0,1699679000000.0,-157751000000.0,395042000000.0,406620881000000.0,411288535000000.0,-4667654000000.0,79206253000000.0,36077453000000.0,43128800000000.0,0.0,141148000000,0.0,303387000000.0,-162239000000.0,4127353000000,2966929000000.0,1160424000000.0,177005000000.0,11290811000000.0,611223523000000,548693358000000,6110000000.0,52857299000000.0,422755092000000.0,0.0,55580000000.0,50155919000000.0,22863358000000.0,62530165000000,34046130000000.0,9220106000000.0,-43527000000.0,19307456000000,33774351000000,0.0,13224279000000,0.4606257341494139,4135029000000,0.2577901071775662,13224279000000.0,-7009125000000.0,6215154000000.0,1075475000000.0,-448409000000.0,627066000000.0,437956000000.0,42982000000.0,-1032000000.0,576702000000.0,-9458000000.0,567244000000.0,30781000000.0,7920151000000.0,-2507640000000,5412511000000.0,-256014000000.0,5156497000000,-1021468000000.0,-1109352000000,87884000000.0,4135029000000,4135029000000,1224.0,33126000000.0,3655575000000.0,-6426336000000.0,-300000000.0,-149733000000.0,31051000000.0,-117821000000.0,0.0,0.0,-6544457000000.0,103510231000000.0,-43527000000.0,96922247000000.0,-6426636000000.0,861000000.0,0.0,0.0,0.0,8.7748586302,0.0660057909650486,1.2173320095443665,0.6653140050914266,0.2541541819,0.0,0.0250189415,0.0,9.774858630230703,84866500322300.0,3884050358.0,5.838492592,1.3572089618,2.842103388,3.6341689198,1064.6177620954522,16099.2158279324,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02,2023-06-01,0.06132931589093253
ACB,2023,2,630893170000000,5983591000000,11514014000000.0,89763275000000.0,1068921000000.0,1182088000000.0,-113167000000.0,114028000000.0,429058305000000.0,434031946000000.0,-4973641000000.0,79112752000000.0,42472830000000.0,36639922000000.0,0.0,146321000000,0.0,303387000000.0,-157066000000.0,4292448000000,3101005000000.0,1191443000000.0,177005000000.0,9662510000000.0,630893170000000,568025989000000,2921000000.0,68957498000000.0,432410465000000.0,0.0,49182000000.0,44657505000000.0,21948418000000.0,62867181000000,39112283000000.0,9220106000000.0,-44922000000.0,14579714000000,38840504000000,0.0,13583597000000,0.4420699881193433,3865846000000,-0.0196041335501482,13583597000000.0,-7337925000000.0,6245672000000.0,1262569000000.0,-458183000000.0,804386000000.0,327437000000.0,71566000000.0,407802000000.0,200858000000.0,-37975000000.0,162883000000.0,3774000000.0,8023520000000.0,-2485180000000,5538340000000.0,-705893000000.0,4832447000000,-966601000000.0,-911557000000,-55044000000.0,3865846000000,3865846000000,797.0,23798000000.0,5441896000000.0,14418845000000.0,-233000000.0,-213810000000.0,1154000000.0,-211517000000.0,0.0,-3377435000000.0,10829660000000.0,96922247000000.0,-1395000000.0,107750512000000.0,14418612000000.0,1139000000.0,0.0,0.0,-3377435000000.0,9.0353341754,0.0682780416064782,1.2238930087761548,0.618963980176993,0.241404856,0.0,0.0239863156,0.0,10.035334175394311,88167943126600.0,3884050358.0,5.0375189458,1.4024478547,2.8477440163,1.739453918,995.3130478953486,16185.985042782,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.97,2023-09-05,-0.036344452807337606
